srun: job 26232 queued and waiting for resources
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=5.922e-04 mean_abs=1.380e-05 max_rel=1.238e+02 rel_rms=5.269e-03
  out  hier vs fp64                    max_abs=5.922e-04 mean_abs=1.380e-05 max_rel=1.238e+02 rel_rms=5.269e-03
  hT   flash_kda vs fp64               max_abs=3.922e-03 mean_abs=8.981e-05 max_rel=3.230e+01 rel_rms=4.373e-03
  hT   hier vs fp64                    max_abs=3.922e-03 mean_abs=8.981e-05 max_rel=3.230e+01 rel_rms=4.373e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-5.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=5.922e-04 mean_abs=1.380e-05 max_rel=1.238e+02 rel_rms=5.269e-03
  out  hier vs fp64                    max_abs=5.922e-04 mean_abs=1.380e-05 max_rel=1.238e+02 rel_rms=5.269e-03
  hT   flash_kda vs fp64               max_abs=3.922e-03 mean_abs=8.981e-05 max_rel=3.230e+01 rel_rms=4.373e-03
  hT   hier vs fp64                    max_abs=3.922e-03 mean_abs=8.981e-05 max_rel=3.230e+01 rel_rms=4.373e-03
[check B=1 T=8192 H=12 G=32 NG=16 lb=-5.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=8192 H=12 G=32 NG=16 lb=-5.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=2 T=4096 H=8 G=16 NG=16 lb=-5.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=2 T=4096 H=8 G=16 NG=16 lb=-5.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=512 H=4 G=4 NG=8 lb=-1.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.223e-04 mean_abs=1.918e-05 max_rel=6.114e+01 rel_rms=5.480e-03
  out  hier vs fp64                    max_abs=4.223e-04 mean_abs=1.918e-05 max_rel=6.114e+01 rel_rms=5.480e-03
  hT   flash_kda vs fp64               max_abs=3.588e-03 mean_abs=1.408e-04 max_rel=3.012e+01 rel_rms=4.353e-03
  hT   hier vs fp64                    max_abs=3.588e-03 mean_abs=1.408e-04 max_rel=3.012e+01 rel_rms=4.353e-03
[check B=1 T=512 H=4 G=4 NG=8 lb=-1.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.223e-04 mean_abs=1.918e-05 max_rel=6.114e+01 rel_rms=5.480e-03
  out  hier vs fp64                    max_abs=4.223e-04 mean_abs=1.918e-05 max_rel=6.114e+01 rel_rms=5.480e-03
  hT   flash_kda vs fp64               max_abs=3.588e-03 mean_abs=1.408e-04 max_rel=3.012e+01 rel_rms=4.353e-03
  hT   hier vs fp64                    max_abs=3.588e-03 mean_abs=1.408e-04 max_rel=3.012e+01 rel_rms=4.353e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-1.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.843e-04 mean_abs=1.910e-05 max_rel=6.114e+01 rel_rms=5.512e-03
  out  hier vs fp64                    max_abs=4.843e-04 mean_abs=1.910e-05 max_rel=6.114e+01 rel_rms=5.512e-03
  hT   flash_kda vs fp64               max_abs=5.196e-03 mean_abs=2.017e-04 max_rel=1.513e+01 rel_rms=4.576e-03
  hT   hier vs fp64                    max_abs=5.196e-03 mean_abs=2.017e-04 max_rel=1.513e+01 rel_rms=4.576e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-1.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.843e-04 mean_abs=1.910e-05 max_rel=6.114e+01 rel_rms=5.512e-03
  out  hier vs fp64                    max_abs=4.843e-04 mean_abs=1.910e-05 max_rel=6.114e+01 rel_rms=5.512e-03
  hT   flash_kda vs fp64               max_abs=5.196e-03 mean_abs=2.017e-04 max_rel=1.513e+01 rel_rms=4.576e-03
  hT   hier vs fp64                    max_abs=5.196e-03 mean_abs=2.017e-04 max_rel=1.513e+01 rel_rms=4.576e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-1.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=5.047e-04 mean_abs=1.905e-05 max_rel=3.922e+01 rel_rms=5.475e-03
  out  hier vs fp64                    max_abs=5.047e-04 mean_abs=1.905e-05 max_rel=3.922e+01 rel_rms=5.475e-03
  hT   flash_kda vs fp64               max_abs=5.278e-03 mean_abs=1.572e-04 max_rel=1.554e+02 rel_rms=4.823e-03
  hT   hier vs fp64                    max_abs=5.278e-03 mean_abs=1.572e-04 max_rel=1.554e+02 rel_rms=4.823e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-1.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=5.047e-04 mean_abs=1.905e-05 max_rel=3.922e+01 rel_rms=5.475e-03
  out  hier vs fp64                    max_abs=5.047e-04 mean_abs=1.905e-05 max_rel=3.922e+01 rel_rms=5.475e-03
  hT   flash_kda vs fp64               max_abs=5.278e-03 mean_abs=1.572e-04 max_rel=1.554e+02 rel_rms=4.823e-03
  hT   hier vs fp64                    max_abs=5.278e-03 mean_abs=1.572e-04 max_rel=1.554e+02 rel_rms=4.823e-03
[check B=1 T=8192 H=12 G=32 NG=16 lb=-1.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=8192 H=12 G=32 NG=16 lb=-1.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=2 T=4096 H=8 G=16 NG=16 lb=-1.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=2 T=4096 H=8 G=16 NG=16 lb=-1.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=512 H=4 G=4 NG=8 lb=-0.1 p2=seq]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=1.485e-05 max_rel=1.221e+02 rel_rms=2.723e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=6.123e-05 max_rel=6.762e+01 rel_rms=1.509e-03
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.598e-05 max_rel=8.354e+01 rel_rms=5.928e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.624e-05 max_rel=8.866e+01 rel_rms=5.954e-03
  hT   flash_kda vs fp64               max_abs=5.259e-03 mean_abs=5.150e-04 max_rel=6.288e+01 rel_rms=4.917e-03
  hT   hier vs fp64                    max_abs=5.259e-03 mean_abs=5.152e-04 max_rel=6.335e+01 rel_rms=4.918e-03
[check B=1 T=512 H=4 G=4 NG=8 lb=-0.1 p2=tree]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=1.485e-05 max_rel=1.221e+02 rel_rms=2.723e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=6.123e-05 max_rel=6.762e+01 rel_rms=1.509e-03
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.598e-05 max_rel=8.354e+01 rel_rms=5.928e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.624e-05 max_rel=8.866e+01 rel_rms=5.954e-03
  hT   flash_kda vs fp64               max_abs=5.259e-03 mean_abs=5.150e-04 max_rel=6.288e+01 rel_rms=4.917e-03
  hT   hier vs fp64                    max_abs=5.259e-03 mean_abs=5.152e-04 max_rel=6.335e+01 rel_rms=4.918e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.1 p2=seq]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.048e-06 max_rel=1.221e+02 rel_rms=1.674e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.522e-05 max_rel=4.755e+00 rel_rms=7.455e-04
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.566e-05 max_rel=9.109e+01 rel_rms=5.946e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.568e-05 max_rel=8.354e+01 rel_rms=5.949e-03
  hT   flash_kda vs fp64               max_abs=6.604e-03 mean_abs=5.596e-04 max_rel=4.278e+02 rel_rms=4.935e-03
  hT   hier vs fp64                    max_abs=6.604e-03 mean_abs=5.595e-04 max_rel=4.278e+02 rel_rms=4.934e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.1 p2=tree]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.048e-06 max_rel=1.221e+02 rel_rms=1.674e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.522e-05 max_rel=4.755e+00 rel_rms=7.455e-04
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.566e-05 max_rel=9.109e+01 rel_rms=5.946e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.568e-05 max_rel=8.354e+01 rel_rms=5.949e-03
  hT   flash_kda vs fp64               max_abs=6.604e-03 mean_abs=5.596e-04 max_rel=4.278e+02 rel_rms=4.935e-03
  hT   hier vs fp64                    max_abs=6.604e-03 mean_abs=5.595e-04 max_rel=4.278e+02 rel_rms=4.934e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.1 p2=seq]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=5.628e-06 max_rel=6.104e+01 rel_rms=1.629e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.953e-05 max_rel=5.323e+00 rel_rms=8.708e-04
  out  flash_kda vs fp64               max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=6.154e+01 rel_rms=5.978e-03
  out  hier vs fp64                    max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=7.778e+01 rel_rms=5.976e-03
  hT   flash_kda vs fp64               max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.395e+02 rel_rms=5.127e-03
  hT   hier vs fp64                    max_abs=6.978e-03 mean_abs=5.222e-04 max_rel=8.341e+02 rel_rms=5.122e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.1 p2=tree]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=5.628e-06 max_rel=6.104e+01 rel_rms=1.629e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.953e-05 max_rel=5.323e+00 rel_rms=8.708e-04
  out  flash_kda vs fp64               max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=6.154e+01 rel_rms=5.978e-03
  out  hier vs fp64                    max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=7.778e+01 rel_rms=5.976e-03
  hT   flash_kda vs fp64               max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.395e+02 rel_rms=5.127e-03
  hT   hier vs fp64                    max_abs=6.978e-03 mean_abs=5.222e-04 max_rel=8.341e+02 rel_rms=5.122e-03
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.1 p2=seq]
  out  hier vs flash_kda               max_abs=2.441e-04 mean_abs=8.807e-09 max_rel=3.052e+01 rel_rms=6.369e-05
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.1 p2=tree]
  out  hier vs flash_kda               max_abs=2.441e-04 mean_abs=8.807e-09 max_rel=3.052e+01 rel_rms=6.369e-05
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=2 T=4096 H=8 G=16 NG=16 lb=-0.1 p2=seq]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.670e-07 max_rel=1.221e+02 rel_rms=5.562e-04
  hT   hier vs flash_kda               max_abs=1.953e-03 mean_abs=1.897e-07 max_rel=1.143e+00 rel_rms=8.119e-05
[check B=2 T=4096 H=8 G=16 NG=16 lb=-0.1 p2=tree]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.670e-07 max_rel=1.221e+02 rel_rms=5.562e-04
  hT   hier vs flash_kda               max_abs=1.953e-03 mean_abs=1.897e-07 max_rel=1.143e+00 rel_rms=8.119e-05
[check B=1 T=512 H=4 G=4 NG=8 lb=-0.01 p2=seq]
  out  hier vs flash_kda               max_abs=9.766e-04 mean_abs=1.252e-04 max_rel=5.493e+02 rel_rms=6.164e-03
  hT   hier vs flash_kda               max_abs=1.562e-02 mean_abs=1.392e-03 max_rel=6.728e+02 rel_rms=5.515e-03
  out  flash_kda vs fp64               max_abs=1.117e-03 mean_abs=1.617e-04 max_rel=1.907e+02 rel_rms=6.818e-03
  out  hier vs fp64                    max_abs=1.202e-03 mean_abs=1.631e-04 max_rel=2.392e+02 rel_rms=6.890e-03
  hT   flash_kda vs fp64               max_abs=1.250e-02 mean_abs=1.735e-03 max_rel=9.983e+01 rel_rms=6.066e-03
  hT   hier vs fp64                    max_abs=1.250e-02 mean_abs=1.754e-03 max_rel=1.077e+02 rel_rms=6.141e-03
[check B=1 T=512 H=4 G=4 NG=8 lb=-0.01 p2=tree]
  out  hier vs flash_kda               max_abs=9.766e-04 mean_abs=1.252e-04 max_rel=5.493e+02 rel_rms=6.164e-03
  hT   hier vs flash_kda               max_abs=1.562e-02 mean_abs=1.392e-03 max_rel=6.728e+02 rel_rms=5.515e-03
  out  flash_kda vs fp64               max_abs=1.117e-03 mean_abs=1.617e-04 max_rel=1.907e+02 rel_rms=6.818e-03
  out  hier vs fp64                    max_abs=1.202e-03 mean_abs=1.631e-04 max_rel=2.392e+02 rel_rms=6.890e-03
  hT   flash_kda vs fp64               max_abs=1.250e-02 mean_abs=1.735e-03 max_rel=9.983e+01 rel_rms=6.066e-03
  hT   hier vs fp64                    max_abs=1.250e-02 mean_abs=1.754e-03 max_rel=1.077e+02 rel_rms=6.141e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.01 p2=seq]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.316e-04 max_rel=6.714e+02 rel_rms=6.093e-03
  hT   hier vs flash_kda               max_abs=7.812e-03 mean_abs=1.236e-03 max_rel=3.727e+02 rel_rms=5.033e-03
  out  flash_kda vs fp64               max_abs=1.294e-03 mean_abs=1.707e-04 max_rel=3.391e+02 rel_rms=6.909e-03
  out  hier vs fp64                    max_abs=1.177e-03 mean_abs=1.723e-04 max_rel=4.521e+02 rel_rms=6.978e-03
  hT   flash_kda vs fp64               max_abs=1.156e-02 mean_abs=1.725e-03 max_rel=4.572e+02 rel_rms=6.029e-03
  hT   hier vs fp64                    max_abs=1.144e-02 mean_abs=1.725e-03 max_rel=9.307e+01 rel_rms=6.037e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.01 p2=tree]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.316e-04 max_rel=6.714e+02 rel_rms=6.093e-03
  hT   hier vs flash_kda               max_abs=7.812e-03 mean_abs=1.236e-03 max_rel=3.727e+02 rel_rms=5.035e-03
  out  flash_kda vs fp64               max_abs=1.294e-03 mean_abs=1.707e-04 max_rel=3.391e+02 rel_rms=6.909e-03
  out  hier vs fp64                    max_abs=1.177e-03 mean_abs=1.723e-04 max_rel=4.521e+02 rel_rms=6.979e-03
  hT   flash_kda vs fp64               max_abs=1.156e-02 mean_abs=1.725e-03 max_rel=4.572e+02 rel_rms=6.029e-03
  hT   hier vs fp64                    max_abs=1.144e-02 mean_abs=1.725e-03 max_rel=9.307e+01 rel_rms=6.037e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.01 p2=seq]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.210e-04 max_rel=7.324e+02 rel_rms=5.918e-03
  hT   hier vs flash_kda               max_abs=1.172e-02 mean_abs=1.272e-03 max_rel=1.924e+02 rel_rms=5.268e-03
  out  flash_kda vs fp64               max_abs=1.418e-03 mean_abs=1.659e-04 max_rel=2.359e+02 rel_rms=6.876e-03
  out  hier vs fp64                    max_abs=1.251e-03 mean_abs=1.676e-04 max_rel=2.368e+02 rel_rms=6.942e-03
  hT   flash_kda vs fp64               max_abs=1.254e-02 mean_abs=1.735e-03 max_rel=1.366e+03 rel_rms=6.190e-03
  hT   hier vs fp64                    max_abs=1.383e-02 mean_abs=1.742e-03 max_rel=8.558e+02 rel_rms=6.218e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.01 p2=tree]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.210e-04 max_rel=7.324e+02 rel_rms=5.918e-03
  hT   hier vs flash_kda               max_abs=1.172e-02 mean_abs=1.272e-03 max_rel=1.924e+02 rel_rms=5.268e-03
  out  flash_kda vs fp64               max_abs=1.418e-03 mean_abs=1.659e-04 max_rel=2.359e+02 rel_rms=6.876e-03
  out  hier vs fp64                    max_abs=1.251e-03 mean_abs=1.676e-04 max_rel=2.368e+02 rel_rms=6.942e-03
  hT   flash_kda vs fp64               max_abs=1.254e-02 mean_abs=1.735e-03 max_rel=1.366e+03 rel_rms=6.190e-03
  hT   hier vs fp64                    max_abs=1.383e-02 mean_abs=1.742e-03 max_rel=8.558e+02 rel_rms=6.218e-03
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.01 p2=seq]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.144e-04 max_rel=9.766e+02 rel_rms=5.421e-03
  hT   hier vs flash_kda               max_abs=1.172e-02 mean_abs=1.090e-03 max_rel=3.346e+02 rel_rms=4.742e-03
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.01 p2=tree]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.144e-04 max_rel=9.766e+02 rel_rms=5.421e-03
  hT   hier vs flash_kda               max_abs=1.172e-02 mean_abs=1.090e-03 max_rel=3.346e+02 rel_rms=4.742e-03
[check B=2 T=4096 H=8 G=16 NG=16 lb=-0.01 p2=seq]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.242e-04 max_rel=7.324e+02 rel_rms=5.776e-03
  hT   hier vs flash_kda               max_abs=1.172e-02 mean_abs=1.130e-03 max_rel=1.252e+02 rel_rms=4.807e-03
[check B=2 T=4096 H=8 G=16 NG=16 lb=-0.01 p2=tree]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.242e-04 max_rel=7.324e+02 rel_rms=5.776e-03
  hT   hier vs flash_kda               max_abs=1.172e-02 mean_abs=1.130e-03 max_rel=1.252e+02 rel_rms=4.808e-03

===== B=1 T=8192 H=12  (B*H=12 CTA in baseline K2, NT=512) =====
  baseline flash_kda.fwd(K1+K2):   1361.3 us
  G=  8 NG=  64 CTAs=   768 p2=seq       :   2019.4 us  speedup  0.67x  | p1a   206.7 p1b   205.8 p2  1408.2 p3   207.8 us  | out max_abs 0.00e+00 mean 0.00e+00
  G=  8 NG=  64 CTAs=   768 p2=tree+graph:   2773.3 us  speedup  0.49x  | p1a   364.2 p1b   205.5 p2  2138.6 p3   211.8 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG=  32 CTAs=   384 p2=seq       :   1330.5 us  speedup  1.02x  | p1a   215.0 p1b   212.3 p2   708.5 p3   224.2 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG=  32 CTAs=   384 p2=tree+graph:   1612.2 us  speedup  0.84x  | p1a   347.5 p1b   207.5 p2  1008.2 p3   209.9 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  16 CTAs=   192 p2=seq       :   1000.3 us  speedup  1.36x  | p1a   217.3 p1b   213.8 p2   359.6 p3   218.1 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  16 CTAs=   192 p2=tree+graph:   1086.0 us  speedup  1.25x  | p1a   368.1 p1b   218.3 p2   449.9 p3   215.9 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=   8 CTAs=    96 p2=seq       :    955.7 us  speedup  1.42x  | p1a   258.0 p1b   257.0 p2   181.3 p3   261.1 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=   8 CTAs=    96 p2=tree+graph:   1003.2 us  speedup  1.36x  | p1a   421.6 p1b   258.6 p2   225.7 p3   258.9 us  | out max_abs 0.00e+00 mean 0.00e+00

===== B=1 T=32768 H=12  (B*H=12 CTA in baseline K2, NT=2048) =====
  baseline flash_kda.fwd(K1+K2):   5367.7 us
  G=  8 NG= 256 CTAs=  3072 p2=seq       :   7794.3 us  speedup  0.69x  | p1a   725.9 p1b   726.3 p2  5623.7 p3   730.1 us  | out max_abs 0.00e+00 mean 0.00e+00
  G=  8 NG= 256 CTAs=  3072 p2=tree+graph:  12506.9 us  speedup  0.43x  | p1a   900.8 p1b   722.5 p2 10337.6 p3   725.9 us  | out max_abs 0.00e+00 mean 0.00e+00
